Country,Perceptions of Corruption (2022 1/2) Proj,Perceptions of Corruption (2023) Proj,Perceptions of Corruption (2024) Proj,Perceptions of Corruption (2025) Proj,Perceptions of Corruption (2026) Proj,Perceptions of Corruption (2027) Proj
Switzerland,0.4033634570713044,0.40008014848556533,0.3976901781826784,0.4038267567479097,0.4131921080974916,0.4036305297169898
Iceland,0.15474531189441681,0.15740437427330017,0.15893524912796023,0.16001698705913545,0.16442038447096252,0.15910446136515505
Denmark,0.45377401363372794,0.4478148163604736,0.44847177963256835,0.458012121925354,0.4680145463104248,0.4552174555725097
Norway,0.370550766904831,0.37165492028579716,0.37443390434295665,0.386127918306717,0.39535350196806035,0.37962420236167244
Canada,0.31784630324554436,0.3155015638946533,0.3159438766735839,0.32165834876275634,0.3277900185153076,0.3197480222183691
Finland,0.4266743085880281,0.4292651703056336,0.43311020436676034,0.4432099366520844,0.4532519239825013,0.4371023087790015
Netherlands,0.32281436508369443,0.32374923810043327,0.3286450857205199,0.3378417377809295,0.34641008533711537,0.3318921024045385
Sweden,0.42530174572181706,0.42267409486618035,0.4254749138394165,0.4336901508854828,0.4438281810625793,0.4301938172750952
New Zealand,0.4206153404254914,0.4188944085105898,0.41886529021270763,0.4260750078297577,0.43349000939570936,0.4235880112748512
Australia,0.32477274607276924,0.318453295287323,0.31748195434478765,0.320741599140976,0.3244899189691711,0.32118790276300546
Israel,0.13307442001199724,0.14411930401439668,0.155487164817276,0.16953617776873398,0.14904341332248078,0.15025209598697695
Costa Rica,0.10288131789922719,0.10229158147907262,0.10165589777488715,0.10196575943063739,0.10215891131676487,0.10219069358011786
Austria,0.23486007308769224,0.24448008770523066,0.25068010524627676,0.25660405320783997,0.2631248638494079,0.24994983661928952
Mexico,0.14788882292175298,0.1348425875061036,0.12510110500732433,0.12356650308703618,0.12927980370444342,0.1321357644453321
United States,0.15064375766849522,0.14899250920219426,0.1490550110426331,0.1517382555826645,0.15548590669919743,0.15118308803903688
Brazil,0.1299925522317886,0.12094906267814631,0.1168068752137756,0.11794969802474212,0.12393963762969054,0.12192756515562864
Ireland,0.319391630662918,0.3258639567955016,0.33152874815460187,0.33815686712260423,0.34458824054712517,0.3319058886565502
Belgium,0.23664462621307378,0.23889355145568852,0.23417626174682624,0.2307428878831177,0.2288914654597413,0.2338697585516895
United Kingdom,0.2542176132507324,0.24092713590087889,0.23431456308105464,0.22809186244653318,0.2573102349358398,0.2429722819230078
Venezuela,0.07844422459220886,0.07199506951065063,0.06978608341278077,0.07084507550312805,0.07461409060375365,0.0731369087245044
Singapore,0.494055557006836,0.4944466684082032,0.49936200208984394,0.5063728455009767,0.516247414601172,0.5020968975214064
Panama,0.0723827847943306,0.06831934175319672,0.06513721010383605,0.06396786733027268,0.06416144079632721,0.06679372895559266
Germany,0.28373438762474057,0.2967952651496887,0.29905231817962646,0.30351639419081117,0.30821967302897335,0.29826360763476806
Chile,0.09109759642124175,0.08357911570549012,0.07739293884658813,0.076413930194664,0.0794967162335968,0.08159605948031616
France,0.19980848565864562,0.1984781827903747,0.20255781934844969,0.208568897559494,0.21508267707139278,0.20489921248567136
Argentina,0.0713079775428772,0.06860157305145265,0.06772988766174318,0.0693278876512146,0.07239346518145753,0.06987215821774903
Uruguay,0.2115163745441436,0.2047036494529723,0.2028563793435668,0.20781528066813654,0.21837833680176386,0.20905400416211659
Colombia,0.053571748370409025,0.05404609804449082,0.05405731765338899,0.05553503281365776,0.05884203937638931,0.05521044725166718
Thailand,0.0293625470483303,0.02886105645799636,0.028967267749595633,0.028438174251184455,0.028325809101421344,0.028790970921705617
Saudi Arabia,0.241150450958252,0.22433254114990242,0.20918304937988288,0.19633320829760745,0.21019984995712893,0.21623981994855476
Spain,0.08385281942605974,0.08782738331127167,0.093118859973526,0.09755981254217147,0.10227177505060576,0.09292613006072693
Malta,0.15449321377754222,0.15821985653305065,0.15475582783966074,0.15509377963005072,0.15771253555606085,0.15605504266727305
El Salvador,0.12157419197845457,0.12233703037414548,0.12557843644897457,0.1326979317603149,0.1428375181123779,0.12900502173485348
Uzbekistan,0.2674236446313858,0.25925637355766296,0.2544416482691955,0.25602433329164886,0.2554291999499786,0.2585150399399744
Slovakia,0.025398170327901842,0.02361580439348221,0.022444965272178652,0.02209178799871254,0.023710145598455048,0.02345217471814606
Japan,0.1804421473169326,0.1804105767803191,0.17852269213638292,0.18147508324672693,0.18777009989607232,0.18172411987528675
South Korea,0.08920253371810913,0.09132904046173099,0.09416284855407717,0.10033888454678346,0.11020666145614015,0.0970479937473682
Ecuador,0.1408809294977188,0.13287711539726255,0.12337853847671507,0.12002731667433927,0.12003278000920714,0.12743933601104857
Bahrain,0.21975243391418461,0.20250292069702153,0.19145950483642582,0.1783429718895264,0.18941156626743166,0.196293879520918
Italy,0.03391961828315258,0.0349015419397831,0.03676985032773971,0.03851820211013508,0.0406218425321621,0.03694621103859452
Bolivia,0.06878754523229598,0.06494505427875517,0.06244206513450622,0.06283493292911148,0.06460191951493377,0.06472230341792053
Moldova,0.01465425723052024,0.01435510867662429,0.013420130411949144,0.014085899263818735,0.01690307911658248,0.014683694939898979
Paraguay,0.07608918268775941,0.07482301922531129,0.07499562307037355,0.07178156499668885,0.07133787799602662,0.07380545359523194
Kazakhstan,0.11862857727718361,0.1254462927326203,0.12827155127914439,0.13006928425778966,0.13188314110934757,0.1268597693312171
Slovenia,0.05706979575777053,0.060909754909324654,0.06582170589118957,0.06996025131165695,0.07375230157398835,0.06550276188878601
Lithuania,0.02467512857061624,0.02754815428473949,0.029417785141687386,0.032928213599408625,0.038313856319290344,0.03057662758314842
Nicaragua,0.1653555963687896,0.15979271564254752,0.15916725877105703,0.16486311415647883,0.17223573698777456,0.1642828843853295
Peru,0.04617181730818748,0.04342818076982498,0.04152981692378997,0.040425963000360485,0.04171115560043259,0.042653386720519104
Poland,0.07208556123876572,0.07807867348651887,0.08269440818382263,0.08737172858182143,0.09204607429818575,0.08245528915782288
Malaysia,0.08928414162540435,0.08613896995048523,0.08520476394058227,0.08912557510329437,0.09515069012395325,0.08898082814874389
Croatia,0.02928462200903892,0.030281546410846703,0.028333855693016045,0.02538000482258034,0.022656005787096402,0.02718720694451568
Russia,0.04077457620573044,0.042919491446876526,0.044331389736251836,0.04660509147777177,0.05092610977332611,0.04511133172799133
Jamaica,0.041039556203842156,0.04464946744461059,0.04499136093353272,0.042936076916397094,0.045323292299676514,0.04378795075961181
Cyprus,0.05039559528040886,0.04818271433649063,0.047363257203788756,0.048588313364137645,0.05130597603696517,0.04916717124435821
Algeria,0.1532992220687866,0.1491930664825439,0.1467176797790527,0.14684199366607664,0.14921039239929196,0.14905247087915036
Kosovo,0.04567032361125946,0.045322388333511356,0.04129286600021362,0.03805711558899689,0.04106853870679626,0.042282246448155515
Mauritius,0.06528431103634832,0.063299173243618,0.0655530078923416,0.07022729843446159,0.0742727581213539,0.06772730974562469
Estonia,0.2054557844457626,0.2161789413349151,0.22237672960189814,0.2302022910765152,0.24144274929181822,0.22313129915018187
Indonesia,0.01670742709809542,0.020048912517714505,0.023414695021257405,0.025034206927413465,0.026441048312896155,0.022329257975475393
Vietnam,0.09832064744853973,0.09710277693824768,0.09341133232589723,0.09456695134253693,0.0976803416110443,0.09621640993325317
Turkey,0.12092231597948074,0.11361477917537688,0.11164173501045224,0.11403576603306198,0.11504291923967438,0.11505150308760922
Kyrgyzstan,0.03787583580064774,0.03698700296077729,0.034860403552932746,0.033944648462871554,0.033733578155445865,0.035480293786535035
Nigeria,0.033384313214421285,0.03200117585730554,0.032301411028766644,0.03353738002009869,0.03384485602411843,0.033013827228942125
Pakistan,0.11855761334943779,0.12134113601932535,0.11784936322319044,0.11654962251839071,0.11725954702206887,0.11831145642648264
Jordan,0.14594065443754203,0.14654278532505044,0.1492573423900605,0.1551481564305306,0.15937778771663674,0.1512533452599641
Montenegro,0.1032688388195038,0.09533060658340453,0.08895472790008545,0.08911083466059876,0.0907330015927185,0.09347960191126221
China,0.06461085492265224,0.07197102590718268,0.08087523108861923,0.09249142238369082,0.09038970686042899,0.0800676482325148
Zambia,0.09653671003007888,0.09090805203609464,0.08613166244331358,0.08771528490189742,0.0888583418822769,0.0900300102587323
Romania,0.0049335801397860065,0.004622296167743207,0.004188755401291848,0.004148926341764213,0.004778711610117055,0.004534453932140466
Serbia,0.04829275612187386,0.05271730734624863,0.05458276881549835,0.057318566456724174,0.060182279748069,0.05461873569768281
Portugal,0.01957189033734798,0.021330268404817575,0.022554322085781092,0.023891296165589333,0.025269555398707195,0.022523466478448637
Latvia,0.07641254532957079,0.07903105439548494,0.07705726527458193,0.07770017299992753,0.08004020759991304,0.07804824911989564
Philippines,0.11733837860536575,0.1162480543264389,0.11598366519172669,0.11931401962470627,0.12217682354964751,0.11821218825957702
Morocco,0.08665263656377792,0.0868911638765335,0.0874613966518402,0.08740103941843033,0.09008124730211639,0.08769749676253968
Albania,0.043400843199968335,0.03925501183996201,0.036504014207954405,0.03583197384957695,0.036598368619492345,0.038318042343390805
Bosnia and Herzegovina,0.0016539999999999999,0.0015308000000000001,0.00183696,0.002204352,0.0026452224,0.00197426688
Dominican Republic,0.1330010506386756,0.13113326076641071,0.13261591291969285,0.13635004486495583,0.142420053837947,0.1351040646055364
Mongolia,0.036682457836389536,0.038686949403667445,0.03985433928440094,0.04124474930489159,0.0430936991658699,0.03991243899904388
Greece,0.050105955378294,0.0573331464539528,0.06054577574474336,0.06399697551539804,0.06799637061847763,0.05999564474217316
Lebanon,0.05678876595354081,0.05898251914424897,0.06465702297309875,0.0700856616141777,0.05690279393701325,0.06148335272441589
Hungary,0.038987387481927885,0.04126886497831346,0.04057863797397615,0.041366978086843496,0.0452403737042122,0.041488448445054636
Honduras,0.07213109050941469,0.07290730861129761,0.07367677033355716,0.0737430338908539,0.07369164066902467,0.07322996880282961
Tajikistan,0.1540374292488098,0.15470091509857178,0.15862309811828612,0.16107228849313354,0.18648674619176026,0.16298409543011233
Tunisia,0.06480062976455689,0.06504475571746826,0.06171370686096191,0.05671181846859741,0.0554541821623169,0.06074501859478028
Bangladesh,0.14124757187747958,0.14435908625297553,0.14806490350357063,0.15293431232680516,0.15472117479216618,0.1482654097505994
Iran,0.08761821469998361,0.09341585763998031,0.10095902916797639,0.11139862030158806,0.10787834436190569,0.10025401323428682
Ukraine,0.019785894163250918,0.017821072995901105,0.017727287595081326,0.01666685095084667,0.017800221141016002,0.017960265369219203
Iraq,0.1044911509375572,0.09781338112506863,0.09010405735008238,0.08668171788254164,0.08501806145904997,0.09282167375085996
South Africa,0.0694998994808197,0.06563187937698364,0.06192825525238037,0.059812006822036745,0.06057440818644409,0.0634892898237329
Ghana,0.037297273974418635,0.03604672876930237,0.03673607452316284,0.039016015453376775,0.04101921854405212,0.03802306225286255
Zimbabwe,0.09319707628202438,0.09567849153842925,0.0976501898461151,0.09810515153331376,0.0979261818399765,0.0965114182079718
India,0.0960733770518303,0.09830405246219635,0.10052086295463562,0.10217965849373245,0.10401559019247894,0.10021870823097474
Nepal,0.08202510922431946,0.08661613106918335,0.08992335728302002,0.09331291951530457,0.09637550341836548,0.08965060410203858
Ethiopia,0.1539271427736282,0.15461657132835382,0.15119988559402459,0.14834871993920135,0.14881846392704157,0.1513821567124499
Sierra Leone,0.06978303520822526,0.06616764224987032,0.06300917069984438,0.061391969631587995,0.06307036355790559,0.06468443626948671
Kenya,0.06537826384305953,0.06677591661167144,0.06675909993400572,0.06718265607774734,0.06961918729329679,0.06714302475195617
Armenia,0.06796688430082798,0.07376026116099357,0.08128031339319228,0.09220149177100276,0.10504179012520332,0.08405014815024399
Myanmar,0.19071724093341821,0.1907926891201019,0.1884652269441222,0.18839503139952848,0.19047403767943416,0.189768845215321
Georgia,0.27535532705497745,0.2537643924659729,0.2407572709591675,0.23857539809602354,0.24329047771522821,0.25034857325827387
Malawi,0.09102433080148695,0.09527519696178435,0.09920223635414123,0.10450035282348251,0.10940042338817901,0.0998805080658148
Sri Lanka,0.07481679323768617,0.07142215188522341,0.06977858226226807,0.06900350547703553,0.07280420657244263,0.07156504788693116
Cameroon,0.05748532628321649,0.05741039153985979,0.056640469847831734,0.057707237534181596,0.060648685041017926,0.05797842204922151
Bulgaria,0.011184306189954283,0.011677167427945136,0.012782600913534165,0.013128814906286718,0.013954577887544062,0.012545493465052873
Egypt,0.1285102730956078,0.14156432771472935,0.14909119325767523,0.1560331588136025,0.16583979057632298,0.1482077486915876
Mali,0.09259204931068418,0.08640645917282104,0.07639375100738524,0.07067845189817809,0.07361414227781371,0.07993697073337647
Uganda,0.06423194376754761,0.06254433252105712,0.06216919902526855,0.06318909506277466,0.06362691407532958,0.0631522968903955
Senegal,0.1004800895934104,0.09915010751209248,0.09561812901451097,0.09164966522400278,0.09357959826880331,0.09609551792256397
Gabon,0.08621935744047164,0.08128122892856596,0.07890947471427916,0.07948201221666337,0.08497841465999603,0.08217409759199523
Cambodia,0.07089919019031524,0.07058502822837828,0.06851803387405395,0.0686004504585495,0.0693205405502594,0.06958464866031126
Tanzania,0.10829902135562897,0.11846482562675476,0.1319597907521057,0.1451447275468979,0.15477367305627748,0.13172840766753297
Guinea,0.1123055235438346,0.11048862825260153,0.10874635390312185,0.1083081011399116,0.11116972136789391,0.1102036656414727
Ivory Coast,0.1383163550891876,0.13013562610702512,0.12510275132843013,0.12411094650492856,0.12833313580591427,0.12919976296709712
Burkina Faso,0.12559562119722362,0.12505074543666833,0.12499489452400199,0.1259282522315788,0.12551390267789456,0.12541668321347346
Afghanistan,0.054093566011905694,0.04547427921428682,0.04034513505714419,0.036182596056667335,0.0362191152680008,0.042462938321600974
Benin,0.10096780305576325,0.10514136366691589,0.11280763640029907,0.12318336062459564,0.13442003274951478,0.11530403929941772
Togo,0.11036900305604933,0.11098080366725922,0.11000296440071107,0.11287055422480392,0.11524466506976472,0.11189359808371764
